codigo usuario;codigo medidor;fecha consulta;fecha lectura;lectura final;anomalia
1019281;43514;05/12/2018;05/12/2018;19298.78;
1019289;52049;05/12/2018;05/12/2018;7669.58;
1019293;50889;05/12/2018;05/12/2018;10535.60;
1019294;33716;05/12/2018;05/12/2018;12492.11;
1019295;35285;05/12/2018;05/12/2018;6528.72;
1019301;51361;05/12/2018;05/12/2018;13397.72;
1019304;54300;05/12/2018;05/12/2018;5913.16;
1019349;36308;05/12/2018;05/12/2018;23711.99;
1019351;33929;05/12/2018;05/12/2018;0.00;Medidor Desconectado
1019355;37574;05/12/2018;05/12/2018;6191.48;
1019356;35732;05/12/2018;05/12/2018;3022.88;
1019398;50516;05/12/2018;05/12/2018;17041.84;
1019400;50525;05/12/2018;05/12/2018;7457.75;
1019402;52490;05/12/2018;05/12/2018;5111.61;
1019405;53694;05/12/2018;05/12/2018;837.26;
1019408;51192;05/12/2018;05/12/2018;6010.89;
1019409;50927;05/12/2018;05/12/2018;4.68;
1019417;44846;05/12/2018;05/12/2018;2517.92;
1019418;55303;05/12/2018;05/12/2018;470.75;
1019419;39326;05/12/2018;05/12/2018;7097.07;
1019420;39317;05/12/2018;05/12/2018;1653.50;
1019421;55702;05/12/2018;05/12/2018;29.18;
1019429;52001;05/12/2018;05/12/2018;4256.08;
1019431;4442352045;05/12/2018;05/12/2018;22310.60;
1019528;50462;05/12/2018;05/12/2018;2130.10;
1019529;50450;05/12/2018;05/12/2018;3880.71;
1019533;53356;05/12/2018;05/12/2018;8918.18;
1019537;36200;05/12/2018;05/12/2018;0.00;Medidor Desconectado
1019539;36434;05/12/2018;05/12/2018;2670.64;
1019541;52070;05/12/2018;05/12/2018;3607.58;
1019542;37535;05/12/2018;05/12/2018;4590.29;
1019569;32882;05/12/2018;05/12/2018;8991.77;
1019637;41756;05/12/2018;05/12/2018;10471.59;
1019639;44849;05/12/2018;05/12/2018;6054.65;
1019642;34775;05/12/2018;05/12/2018;11370.81;
1019644;44867;05/12/2018;05/12/2018;4997.66;
1019661;36968;05/12/2018;05/12/2018;7199.83;
1019667;33806;05/12/2018;05/12/2018;3343.22;
1019683;44234;05/12/2018;05/12/2018;7112.05;
1019687;46997;05/12/2018;05/12/2018;8792.53;
1019691;44831;05/12/2018;05/12/2018;5933.47;
1019705;46856;05/12/2018;05/12/2018;2469.21;
1019711;42497;05/12/2018;05/12/2018;1056.39;
1019712;29819;05/12/2018;05/12/2018;9947.45;
1019713;29789;05/12/2018;05/12/2018;2299.18;
1019716;29804;05/12/2018;05/12/2018;8111.50;
1019717;41726;05/12/2018;05/12/2018;6835.24;
1019718;43988;05/12/2018;05/12/2018;3886.89;
1019719;29768;05/12/2018;05/12/2018;7387.43;
1019720;41567;05/12/2018;05/12/2018;1026.08;
1019722;46151;05/12/2018;05/12/2018;7593.30;
1019723;32984;05/12/2018;05/12/2018;6735.91;
1019724;44774;05/12/2018;05/12/2018;3182.99;
1019725;31025;05/12/2018;05/12/2018;4342.58;
1019726;46259;05/12/2018;05/12/2018;9843.44;
1019727;29771;05/12/2018;05/12/2018;12448.68;
1019730;48287;05/12/2018;05/12/2018;2461.91;
1019731;36305;05/12/2018;05/12/2018;5004.67;
1019732;29870;05/12/2018;05/12/2018;4300.05;
1019741;38330;05/12/2018;05/12/2018;363.11;
1019745;53723;05/12/2018;05/12/2018;3383.85;
1019747;55421;05/12/2018;05/12/2018;2113.62;
1019777;46244;05/12/2018;05/12/2018;6803.82;
1019780;44135;05/12/2018;05/12/2018;4.80;
1019783;39641;05/12/2018;;;Medidor Sin Conexion
1019786;36686;05/12/2018;05/12/2018;3805.29;
1019788;46169;05/12/2018;05/12/2018;10883.08;
1019789;33881;05/12/2018;05/12/2018;2749.76;
1019790;36734;05/12/2018;05/12/2018;6357.81;
1019797;37061;05/12/2018;05/12/2018;11613.86;
1019798;46964;05/12/2018;05/12/2018;0.00;Medidor Desconectado
1019804;29477;05/12/2018;05/12/2018;12345.70;
1019811;43637;05/12/2018;05/12/2018;45.98;
1019819;43724;05/12/2018;05/12/2018;7977.92;
1019821;43625;05/12/2018;05/12/2018;3065.82;
1019824;44228;05/12/2018;05/12/2018;820.03;
1019825;50575;05/12/2018;05/12/2018;4574.21;
1019830;50588;05/12/2018;05/12/2018;8523.44;
1019832;50585;05/12/2018;05/12/2018;3894.07;
1019834;50594;05/12/2018;05/12/2018;7806.98;
1019862;52810;05/12/2018;05/12/2018;7731.86;
1019868;53897;05/12/2018;05/12/2018;1667.30;
1019872;53398;05/12/2018;05/12/2018;3380.30;
1019875;53907;05/12/2018;05/12/2018;8611.86;
1019878;53913;05/12/2018;05/12/2018;5759.41;
1019881;52270;05/12/2018;05/12/2018;1824.61;
1019882;53924;05/12/2018;05/12/2018;6078.36;
1019884;53387;05/12/2018;05/12/2018;3669.98;
1020291;35402;05/12/2018;05/12/2018;4604.98;
1020295;46808;05/12/2018;05/12/2018;3691.43;
1020296;45500;05/12/2018;05/12/2018;5361.82;
1020307;40796;05/12/2018;05/12/2018;5780.06;
1020308;49616;05/12/2018;05/12/2018;10168.32;
1020309;40757;05/12/2018;05/12/2018;4107.09;
1020310;49619;05/12/2018;05/12/2018;5117.50;
1020312;35330;05/12/2018;05/12/2018;6792.70;
1020317;40142;05/12/2018;05/12/2018;1283.43;
1020323;46880;05/12/2018;;;Medidor Sin Conexion
1020327;36578;05/12/2018;;;Medidor Sin Conexion
1020330;50569;05/12/2018;05/12/2018;10238.50;
1020332;52427;05/12/2018;05/12/2018;4620.48;
1020339;50584;05/12/2018;05/12/2018;6233.69;
1020343;53086;05/12/2018;05/12/2018;6705.27;
1020345;52110;05/12/2018;05/12/2018;6927.24;
1020350;33512;05/12/2018;05/12/2018;23953.40;
1020413;43664;05/12/2018;05/12/2018;3458.42;
1020501;37454;05/12/2018;05/12/2018;7642.14;
1020519;37718;05/12/2018;05/12/2018;8202.08;
1020531;55400;05/12/2018;05/12/2018;1069.75;
1020536;50288;05/12/2018;05/12/2018;8073.35;
1020559;53627;05/12/2018;05/12/2018;2342.76;
1020568;51493;05/12/2018;05/12/2018;8056.46;
1020709;36644;05/12/2018;05/12/2018;0.00;Medidor Desconectado
1021011;51800;05/12/2018;05/12/2018;14171.20;
1021015;46127;05/12/2018;05/12/2018;6950.92;
1021019;50477;05/12/2018;05/12/2018;10675.85;
1021021;54420;05/12/2018;05/12/2018;5061.83;
1021026;30395;05/12/2018;05/12/2018;14217.44;
1021028;51280;05/12/2018;05/12/2018;0.00;Medidor Desconectado
1021029;41852;05/12/2018;05/12/2018;10553.24;
1021033;41459;05/12/2018;05/12/2018;6892.92;
1021703;31352;05/12/2018;05/12/2018;2942.18;
1021708;43487;05/12/2018;05/12/2018;6506.45;
1021710;48611;05/12/2018;05/12/2018;9203.65;
1021711;35150;05/12/2018;05/12/2018;5507.40;
1021713;35084;05/12/2018;05/12/2018;2927.32;
1021717;30146;05/12/2018;05/12/2018;0.00;Medidor Desconectado
1021718;31331;05/12/2018;05/12/2018;5835.09;
1021719;43793;05/12/2018;05/12/2018;5386.54;
1021721;30137;05/12/2018;05/12/2018;10910.81;
1021727;42818;05/12/2018;05/12/2018;6940.34;
1021729;42785;05/12/2018;05/12/2018;6187.20;
1021738;43775;05/12/2018;05/12/2018;5147.34;
1021740;48644;05/12/2018;05/12/2018;7798.64;
1021750;30578;05/12/2018;05/12/2018;1293.07;
1021756;45770;05/12/2018;05/12/2018;6009.51;
1021759;43766;05/12/2018;05/12/2018;8722.93;
1021761;45857;05/12/2018;05/12/2018;6160.66;
1021766;32492;05/12/2018;05/12/2018;8236.29;
1021818;32474;05/12/2018;05/12/2018;0.00;Medidor Desconectado
1021820;36422;05/12/2018;05/12/2018;4937.67;
1021826;31508;05/12/2018;05/12/2018;3117.80;
1021828;30206;05/12/2018;;;Medidor Sin Conexion
1021832;30233;05/12/2018;05/12/2018;1759.70;
1021837;30254;05/12/2018;05/12/2018;0.00;Medidor Desconectado
1021838;48389;05/12/2018;05/12/2018;6184.05;
1021840;31982;05/12/2018;05/12/2018;9588.83;
1021842;30623;05/12/2018;05/12/2018;13843.40;
1021847;49625;05/12/2018;05/12/2018;5832.67;
1021861;30632;05/12/2018;05/12/2018;3948.09;
1021878;42791;05/12/2018;05/12/2018;10629.92;
1021885;48230;05/12/2018;05/12/2018;0.00;Medidor Desconectado
1021887;49976;05/12/2018;05/12/2018;3299.30;
1021889;48197;05/12/2018;05/12/2018;7784.13;
1022108;49601;05/12/2018;05/12/2018;2442.34;
1022109;36425;05/12/2018;05/12/2018;11022.16;
1022111;48116;05/12/2018;05/12/2018;0.00;Medidor Desconectado
1022113;31499;05/12/2018;05/12/2018;8263.19;
1022115;36335;05/12/2018;05/12/2018;8029.88;
1022131;42758;05/12/2018;;;Medidor Sin Conexion
1022133;32300;05/12/2018;05/12/2018;9605.60;
1022136;48542;05/12/2018;05/12/2018;5406.09;
1022138;30209;05/12/2018;;;Medidor Sin Conexion
1022141;51128;05/12/2018;05/12/2018;1436.13;
1022146;49541;05/12/2018;05/12/2018;3635.62;
1022147;32753;05/12/2018;05/12/2018;8439.83;
1022151;32675;05/12/2018;05/12/2018;5037.89;
1022152;55434;05/12/2018;05/12/2018;707.52;
1022178;30800;05/12/2018;05/12/2018;1826.10;
1022185;31469;05/12/2018;05/12/2018;5983.72;
1022195;30824;05/12/2018;05/12/2018;5185.79;
1022197;43163;05/12/2018;05/12/2018;7396.48;
1022199;43235;05/12/2018;05/12/2018;5348.62;
1022223;46784;05/12/2018;05/12/2018;10996.56;
1022308;49346;05/12/2018;05/12/2018;16894.58;
1022310;55377;05/12/2018;05/12/2018;4808.04;
1022442;35093;05/12/2018;05/12/2018;0.00;Medidor Desconectado
1022443;34955;05/12/2018;05/12/2018;1940.21;
1022455;35072;05/12/2018;05/12/2018;6698.73;
1022463;40856;05/12/2018;05/12/2018;9282.86;
1022470;34292;05/12/2018;05/12/2018;10655.06;
1022472;4557845527;05/12/2018;05/12/2018;12523.01;
1022477;42101;05/12/2018;05/12/2018;6797.64;
1022479;55429;05/12/2018;;;Medidor Sin Conexion
1022483;40073;05/12/2018;05/12/2018;3632.92;
1022485;49337;05/12/2018;05/12/2018;9338.17;
1022488;40001;05/12/2018;05/12/2018;10289.20;
1022490;55091;05/12/2018;05/12/2018;2569.10;
1022493;49010;05/12/2018;05/12/2018;6934.55;
1022496;49307;05/12/2018;05/12/2018;4447.61;
1022498;30527;05/12/2018;05/12/2018;5139.77;
1022502;48617;05/12/2018;05/12/2018;2767.80;
1023912;44282;05/12/2018;05/12/2018;4742.66;
1023917;54107;05/12/2018;05/12/2018;11787.07;
1023947;40346;05/12/2018;05/12/2018;10333.99;
1024226;35615;05/12/2018;05/12/2018;6301.66;
1024654;3560335555;05/12/2018;05/12/2018;9444.96;
1024656;34334;05/12/2018;05/12/2018;5994.20;
1024657;5539653841;05/12/2018;05/12/2018;7510.42;
1025825;54486;05/12/2018;05/12/2018;0.00;Medidor Desconectado
1025836;44225;05/12/2018;05/12/2018;1002.91;
1025838;52893;05/12/2018;05/12/2018;4392.42;
1025839;29231;05/12/2018;05/12/2018;2742.35;
1025840;51830;05/12/2018;05/12/2018;9236.44;
1025841;53148;05/12/2018;05/12/2018;3931.61;
1025842;54295;05/12/2018;05/12/2018;3581.24;
1025861;43079;05/12/2018;05/12/2018;6755.74;
1026547;41078;05/12/2018;;;Medidor Sin Conexion
1026548;29222;05/12/2018;;;Medidor Sin Conexion
1026572;45572;05/12/2018;05/12/2018;2857.50;
1026579;50715;05/12/2018;05/12/2018;4350.42;
1026831;44903;05/12/2018;05/12/2018;8539.33;
1026836;50735;05/12/2018;05/12/2018;13921.81;
1026839;32330;05/12/2018;05/12/2018;7909.94;
1028137;50126;05/12/2018;05/12/2018;7403.92;
1028138;34496;05/12/2018;05/12/2018;0.00;Medidor Desconectado
1028457;53249;05/12/2018;05/12/2018;7088.62;
1028458;41807;05/12/2018;05/12/2018;9468.61;
1028998;52036;05/12/2018;05/12/2018;3075.79;
1029000;36884;05/12/2018;05/12/2018;12618.33;
1029349;35879;05/12/2018;05/12/2018;0.00;Medidor Desconectado
1029350;35579;05/12/2018;05/12/2018;9368.87;
1029351;533035411853325;05/12/2018;05/12/2018;10006.95;
1029930;34889;05/12/2018;05/12/2018;6390.92;
1030506;37883;05/12/2018;05/12/2018;5195.54;
1030507;31586;05/12/2018;05/12/2018;8763.18;
1030511;52210;05/12/2018;05/12/2018;8102.75;
1030512;52898;05/12/2018;05/12/2018;3912.34;
1030513;52241;05/12/2018;05/12/2018;6008.77;
1030514;52230;05/12/2018;05/12/2018;4047.76;
1030515;52213;05/12/2018;05/12/2018;3040.27;
1030516;52225;05/12/2018;05/12/2018;2619.44;
1030517;52916;05/12/2018;05/12/2018;2656.10;
1030518;52223;05/12/2018;05/12/2018;7090.37;
1030519;52897;05/12/2018;05/12/2018;8702.60;
1030520;52900;05/12/2018;05/12/2018;6762.96;
1030521;50716;05/12/2018;05/12/2018;1767.76;
1030522;52222;05/12/2018;05/12/2018;3970.72;
1030523;52918;05/12/2018;05/12/2018;11964.57;
1030524;52229;05/12/2018;05/12/2018;4110.37;
1030525;52908;05/12/2018;05/12/2018;6475.40;
1030526;52888;05/12/2018;05/12/2018;2383.28;
1030527;55122;05/12/2018;05/12/2018;2280.32;
1030528;52887;05/12/2018;05/12/2018;10140.72;
1030535;52882;05/12/2018;05/12/2018;5460.20;
1030536;52891;05/12/2018;05/12/2018;9665.70;
1030537;52216;05/12/2018;05/12/2018;4239.14;
1030539;33989;05/12/2018;05/12/2018;5543.76;
1030540;36983;05/12/2018;05/12/2018;5749.69;
1030541;33941;05/12/2018;05/12/2018;3097.59;
1030542;34004;05/12/2018;05/12/2018;5016.63;
1030543;33971;05/12/2018;05/12/2018;8712.06;
1030544;36950;05/12/2018;05/12/2018;7218.05;
1030545;37004;05/12/2018;05/12/2018;11069.62;
1030546;37046;05/12/2018;05/12/2018;9560.25;
1030547;53024;05/12/2018;05/12/2018;202.75;
1030667;52700;05/12/2018;05/12/2018;13126.10;
1030668;52675;05/12/2018;05/12/2018;8296.84;
1031087;54709;05/12/2018;05/12/2018;2968.82;
1031101;53646;05/12/2018;05/12/2018;10917.15;
1031102;4003448518;05/12/2018;05/12/2018;13627.18;
1031111;51422;05/12/2018;05/12/2018;3876.99;
1031116;48347;05/12/2018;05/12/2018;0.00;Medidor Desconectado
1031117;38690;05/12/2018;05/12/2018;16313.82;
1031126;41912;05/12/2018;05/12/2018;11874.29;
1031131;5324652020;05/12/2018;05/12/2018;8613.53;
1031142;35465;05/12/2018;05/12/2018;7160.58;
1031144;35501;05/12/2018;05/12/2018;4371.20;
1031145;35480;05/12/2018;05/12/2018;5710.01;
1031413;45725;05/12/2018;05/12/2018;17323.33;
1033053;53186;05/12/2018;05/12/2018;7180.66;
1033054;41315;05/12/2018;05/12/2018;6375.82;
1033058;54446;05/12/2018;05/12/2018;5251.87;
1033153;33416;05/12/2018;05/12/2018;5947.10;
1034031;43982;05/12/2018;05/12/2018;10411.86;
1034034;52657;05/12/2018;05/12/2018;0.00;Medidor Desconectado
1034036;30803;05/12/2018;05/12/2018;9102.79;
1034044;5098950021;05/12/2018;05/12/2018;6204.37;
1034046;50712;05/12/2018;05/12/2018;7203.73;
1034132;39350;05/12/2018;05/12/2018;6746.18;
1034133;51472;05/12/2018;05/12/2018;535.62;
1034135;51483;05/12/2018;05/12/2018;3369.00;
1034911;46103;05/12/2018;05/12/2018;0.00;Medidor Desconectado
1034927;38396;05/12/2018;05/12/2018;0.00;Medidor Desconectado
1036921;41861;05/12/2018;05/12/2018;926.18;
1037231;38183;05/12/2018;05/12/2018;14206.57;
1037235;41858;05/12/2018;05/12/2018;4062.69;
1037238;39242;05/12/2018;05/12/2018;4435.82;
