codigo de transformador;capacidadtransformador;georeferencia;tipotransformador;direccion;codigo nodo;codigo usuario;tipousuario;codigo concentrador;codigo de caja;codigo de colector ;codigo de medidor;display;estado
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;1;381116;MONOFASICO;8562;5960;12879;51574;35009;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;1;381392;MONOFASICO;8562;5960;12879;54501;31085;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;1;381876;MONOFASICO;8562;5960;12879;54484;14324;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;1;381878;MONOFASICO;8562;5960;12879;54502;35020;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;10;1111694;MONOFASICO;8562;6585;12859;54714;34087;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;10;381408;MONOFASICO;8562;6585;12859;54175;34327;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;10;381846;MONOFASICO;8562;6585;12859;54693;33620;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;10;381848;MONOFASICO;8562;6585;12859;54151;37037;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;10;602027;TRIFASICO;8562;6585;12859;541435468750974;33607;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;2;1046784;MONOFASICO;8562;6233;12668;54514;29756;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;2;1067762;MONOFASICO;8562;6233;12668;51572;35629;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;2;1070985;MONOFASICO;8562;6233;12668;52244;36052;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;2;1135679;MONOFASICO;8562;5905;12387;54040;12857;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;2;1139745;MONOFASICO;8562;6233;12668;53257;36593;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;2;1156065;BIFASICO;8562;6233;12668;5449451546;20594;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;2;1156066;MONOFASICO;8562;5905;12387;54030;36694;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;2;1191600;MONOFASICO;8562;5905;12387;54886;37065;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;2;381372;MONOFASICO;8562;5905;12387;52483;35038;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;2;381376;MONOFASICO;8562;6233;12668;54017;35983;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;2;381378;MONOFASICO;8562;6233;12668;54049;35698;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;2;381380;MONOFASICO;8562;5905;12387;51038;33812;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;2;381880;MONOFASICO;8562;6233;12668;51540;36041;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;2;381886;MONOFASICO;8562;6233;12668;51541;99981;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;2;422100;MONOFASICO;8562;6233;12668;54477;36045;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;2;510070;MONOFASICO;8562;5905;12387;51052;33875;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;2;627916;MONOFASICO;8562;6233;12668;51559;36587;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;3;1150792;MONOFASICO;8562;6098;12489;54015;34618;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;3;381384;MONOFASICO;8562;6098;12489;53258;34122;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;3;381386;MONOFASICO;8562;6098;12489;54039;36943;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;3;381390;MONOFASICO;8562;6098;12489;51060;35554;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;3;527198;MONOFASICO;8562;6098;12489;54047;35687;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;3;902946;MONOFASICO;8562;6098;12489;51913;34133;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;4;390838;MONOFASICO;8562;6052;12988;51058;15884;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;4;542359;MONOFASICO;8562;6052;12988;51053;32430;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;4;627946;MONOFASICO;8562;6052;12988;51049;33081;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;5;1017964;MONOFASICO;8562;6146;12701;54016;34209;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;5;1042867;MONOFASICO;8562;6146;12701;51059;36995;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;5;1115702;MONOFASICO;8562;6146;12701;54026;33095;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;5;1156797;MONOFASICO;8562;6146;12701;54019;37096;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;5;1174173;MONOFASICO;8562;6146;12701;55706;28667;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;5;390834;MONOFASICO;8562;6146;12701;51048;33082;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;5;390836;MONOFASICO;8562;6146;12701;51936;35992;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;5;390842;MONOFASICO;8562;6146;12701;51037;33093;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;5;590565;MONOFASICO;8562;6146;12701;51047;33091;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;5;617604;MONOFASICO;8562;6146;12701;51043;33088;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;6;1165293;MONOFASICO;8562;6354;12880;51033;33083;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;6;380350;MONOFASICO;8562;6354;12880;51071;33361;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;6;390814;MONOFASICO;8562;6354;12880;51040;35057;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;6;390822;MONOFASICO;8562;6354;12880;51051;35803;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;6;428451;MONOFASICO;8562;6354;12880;51068;35049;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;6;617603;MONOFASICO;8562;6354;12880;51069;33094;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;7;1132613;MONOFASICO;8562;6168;12382;51065;17525;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;7;1156072;MONOFASICO;8562;6168;12382;51046;33619;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;7;381400;MONOFASICO;8562;6168;12382;51042;34407;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;7;381402;MONOFASICO;8562;6168;12382;51039;34935;Activo
